沙门氏菌病	食物中毒
模态	逻辑联系
黑松鼠	松鼠
衰退	病理状态
精神病	心理状态
灯蛾毛虫	毛虫
苹果馅蛋糕	蛋糕
皮线	导体
抗磁体	物资
天蛾属	节肢动物属
苏格兰教堂	礼拜堂
硼电离室	电离箱
有爪类	节肢动物属
印度历	阴阳历
管胞	维管组织
反义	语义关系
既得利益	股份
分期付款购货	定期付款
电流转换器	开关
滤水池	过滤器
装订所	车间
丙酸	羧酸
纤维组织炎	炎症
金橘	柑橘属果树
累计优先股	优先股
特化作用	顺应
书橱	架子
红牧蚁	役奴蚁
踏级	估计量
钽铁矿	矿质
易感性	易受影响的气质
硫化	处理
呼吸频率	生命征兆
呼吸频率	率
开尔文	温度单位
弥撒日	基督教会节日
普通豌豆	豌豆籽
碳酸氢钠	碳酸氢盐
十二烷基硫酸钠	硫酸盐
太平洋鲱	鲱
出牙过早	长牙
极端	等级
刑警	警察
亚美尼亚语文字	字母表
麦角菌	子囊菌
电烤盘	厨房用具
毒橡	有毒植物
磷酸酶	酶
砧板	厚片
浮桥	船桥甲板
枝状大烛台	蜡烛架
海狗	海狗
酸雨	空气污染
汇率	费率
美洲雪鞋兔	野兔
黄赭色	赭石
肝肿大	反常
杯形器具	吸盘
云母	矿质
肿胀	生物进程
脱水收缩	化学方法
租约	合约
面根藤	旋花类的植物
胆碱酯酶	酶
花冠大戟	大戟属植物
海燕	海鸟
英寸	容积单位
山黧豆	连理草
高钠血	症状
藓纹玛瑙	玛瑙
附着植物	植物群
黑刺桐	龙牙花
同义	语义关系
平车	货车
粗尾猿	阔鼻猴
心脏停搏	病理
急弯	曲线
马耳他猫	家猫
日间活动营	夏令营
页岩	沉积岩
规模	尺度
额饰	饰物
折叠门	内门
超环面体	立方体
茄伏革菌	菌类
草蛉科	节肢动物科
漂泊	露宿街头
地方税	税金
静电起电机	电力设备
套装	衣着
拱形	曲线
显着显眼	突出
喇叭菌	伞菌
信号消失	间歇
类似情况	相似性
能力	易受影响的气质
作指画用的水彩颜料	颜料
标准雪纳瑞犬	髯狗
镇痛药	药物
体育设施	设施
迟发型变应性	过敏性反应
紫梗原虫胶	虫胶
赛亚麻属	海盘车单子叶植物属
男子的礼服大衣	短上衣
墨西哥无毛狗	狗
赔偿	赔偿金
自立	援助
汇编程序	程序
螯龙虾属	节肢动物属
黄瓤树	木材
听力损伤	障碍
丝光黄斜纹布	衣料
羊头芦鲷	真鲷
连接或支撑部分	植物器官
终变期	阶段
鸟不宿	灌木
芽	植物器官
小配件	装置
混合	污染
时期	纪元
威尔士㹴	刚毛猎狐㹴
放置古玩	家具
圆金柑	金橘
每分钟计数	频率
苯甲酸酯	盐
关节膜炎	炎症
全色盲	色盲
鸡眼草	灌木胡枝子
采样频率	频率
弧	曲线
分别	划分
分界面	表面
香龙草	藤本植物
杨柳	青刚柳
引体向上	体操锻炼
刺果苜蓿	苜蓿属植物
和谐	阶级
前蹄	爪子
拟栉蚕科	节肢动物科
乌木树	树
坏的声誉	臭名昭著
尖门齿鲷	真鲷
大西洋鲑	鲑鱼
血吸虫病	侵染
血吸虫病	感染
独角仙	金龟子科甲虫
有脚性息肉	水螅
醛醇缩合反应	反应
降固醇酸	药物
玉米葡萄糖	葡萄糖
大西洋鳕	鳕鱼
多囊肾	肾病
直立人	人类
包括	增大
晨祷	祷告时间
偿还	报酬
魁蛤科	软体动物科
豆叶霸王	灌木
成骨细胞瘤	良性肿瘤
矿产资源	自然资源
钛酸	酸类
碱中毒	病理
蛀木而居之大黑蚁	节肢动物属
扫把	清洁工具
领子	箍
压板	装置
第八	排列
蹼指	反常
铜	导体
铜	金属元素
度假酒店	饭店
肾钙质沉着	肾石病
用户	灵魂
迷乱	隔离
校舍	综合大楼
政治拨款	拨款
粗磨	水桶
屋傍郁金香	郁香
耳叶大戟	水生植物
印花盖印机	机器
受体	化合物
白星海	室内植物
脾脏肥大症	肥大
赛马	马
水田鼠	田鼠
香港脚	癣
荚果蕨属	蕨属
贫血性缺氧	氧过少
阴道子宫积血	病理状态
澳洲海狮	海狮
保险费	报酬
园当归	西当归
风速记录仪	测量仪器
薮猫	猞猁
短吻鳄鳄鱼皮	皮革
坚果树	被子植物
装配场	工厂
毒藤皮疹	漆树皮炎
机动脚踏车	摩托车
越野障碍赛马	黑蝇蛇
越野障碍赛马	马
班	军队单位
衣帽间	房间
光通量单位	光度单位
尺蠖蛾	衣蛾
视杯	杯状器官
蓖麻	灌木
马蹄	蹄
闪蛱蝶属	节肢动物属
大会堂	娱乐中心
管理者	首领
星球日	阶段
细胞毒害药物	药物
猴面犬	狗
正切	三角函数
选民	民
突发症警示犬	役用犬
无性生殖	无性生殖
次要位置	下等
杠铃	杠铃片
领地	不动产
桅杆暸望台	站台
显示器	显示器
苦味酸	酸类
不规则四边形	四边形
收购的企图	尽力
惯例	风俗
仿饰金属	黄铜
十边形	多边形
放电灯	电灯
硝酸银	硝酸银
非编码DAN	脱氧核糖核酸
磁罗盘	指南针
利多卡因	局部麻醉剂
喷水式饮水口	装置
蜘蛛痣	血管瘤
白花马薄荷	香蜂草
顶点	阶段
向后翻的筋斗	翻筋斗
漆树皮炎	接触性皮炎
火药筒	困难境地
名片	问候
金线吊芙蓉	虎耳草属植物
内径尺	测径规
隶属者	合伙人
曲菌病	症
卢旺达法郎	法郎
政府大楼	更常指大而气派的建筑
电解质平衡	平衡状态
康复	新陈代谢
长条形软座	长椅
雄心	干劲
刺刀	刀
缩多氨酸	肽
假紫荆	树
临界状态	紧迫
担保	保证
赌场	更常指大而气派的建筑
逾越节	复活节
立位舞蹈病	舞蹈病
令	定量
车身	结构
滴滴涕	污染物质
门齿鲷	真鲷
戒酒者	灵魂
副教授	老师
防撞头盔	钢盔
空中交通	交通
西洋跳棋盘	棋盘
长杆	用具
录音磁带	磁带
鬼魂	幽灵
军队的宿舍	房屋
近似值	说法
腔棘鱼	总鳍鱼
速率	率
磁化作用	自然过程
新币	块
塞货币单位	货币单位
抽花绣	刺绣装饰
波氏囊鼠	衣囊鼠
美味牛肝菌	牛肝菌
麻叶枫	槭树
室外地滚球	球
笑靥花	灌木
调速器	控制器
数据变换器	转换器
茜素红	茜素
舒喘灵	支气管扩张剂
斗牛场	露天体育场
无板纲软体动物	腹足纲软体动物
防碎玻璃	玻璃
煤气	煤气
码头费	费
被提名的人	政治家
乳腺痛	苦痛
星号	字形
山羊皮	兽皮
锎	金属元素
暴利	纯利润
蜡酸	酸类
美洲乳齿象	乳齿象
长期监禁	监禁
外稃	颖片
黑颈鹳	鹳鸟
垒	棒球器材
杯子形	凹状
轮峰菊	轮峰菊
苯酚	酸类
苯酚	溶剂
成功机会	机会
毕尔格猎犬	猎狗
木瓜	灌木
受催眠的状态	心理状态
黄赭	赭色
避嫌信托	信托财产
天青石	矿质
阻生	病理状态
疯狂	精神失常
焚尸炉	火炉
硝酸银	硝酸盐
对讲系统	通信系统
数字	整数
融合	语言处理
针叶树	裸子植物
关键时刻	瞬间
蝉科	节肢动物科
长柄杯	长柄勺
智慧之树	树
海螯虾科	节肢动物科
阁下	男人
乙酰胺	酰胺
黄柏木	红木
面象虫属	节肢动物属
成功	景气
大西洋鲱	鲱
褐砂石	砂岩
拳击场	拳击场
白斑狗鱼	狗鱼
扫帚柄	柄
面涂层	涂漆层
鲳鲹	鲹
少盐	耗尽
锁销	紧固件
运动性失语	失语症
浴室	房间
白柳	清明柳
青斑	皮肤病
鲬鱼	鲈形亚目鱼
高原鹬	矶鹬
主帆	风帆
斗牛獒犬	役用犬
肘部	关节
门第	关系
林格氏溶液	等渗溶液
下降	盖印
下垂症	脱垂
玫瑰红景天	蝎子草
祸根	折磨
水合作用	缔合
非主动运输	运输
翎夜蛾属	节肢动物属
升起	坡度
除颤器	电子器件
高雪病	遗传病
高雪病	脂沉积
粉翅蛾	衣蛾
消毒盖布	覆盖物
天蛾科	节肢动物科
食叶动物	虫子
铜铅合金	锻铁
紧张	骚动
本能	天赋
减慢心率药	心律失常
水银气压表	气压计
面包板	黑板
盒式照相机	相机
眼影	化妆品
约旦货币单位	货币单位
铁刺丝	铁丝
托	压力单位
无息债券	单据
柱形母线	形状的母线
电梯车厢	隔间
甲基炔诺酮	黄体酮
双工资	薪金
电力设备	装置
小型钢琴	大钢琴
白象	印度象
机械混合物	混合物
母猪	猪
骨硬化病	硬化
色差	视幻觉
生物合成	合成
嘌呤基	嘌呤
英里	长度度量
浑浊化	自然过程
骨肉瘤	肉瘤
北美山茱萸	鸡足
手力割草机	割草机
土壤生物学	科学
三氯乙烷	乙烯
刚性系数	弹性系数
骨形成	生物进程
公吨	公制重量单位
九月中旬	阶段
导流板	装置
收购	控制股权收购
镊子	抽出器
系留塔	锚泊装置
扩音器	音响设备
带踝襻的鞋	鞋子
传送器	仪表
薄荷	薄荷属植物
孔雀蛱蝶	蛱蝶
臭名昭著	坏名声
神经性忧郁	忧郁症
腰腿	臀部
鳞魨	魨
险境	困境
羽扇豆	羽扇豆属植物
英裔美国人	美国人
胶布绷带	绷带
蛱蝶	蛱蝶
水坝	障碍
中国式帆船	船
闭汗症	生理状态
白旗鱼	马林鱼
接地	连结者
尿布	衣料
尖顶饰	装饰品
纹章	标志
损害	降低
夏枯草属	海盘车单子叶植物属
大猎物	野味
生存空间	活动空间
篷车	货车
末名奖品	胜利纪念品
爪哇梭罗人	人类
重量单位	集合单位
过去发生的事	过往
腐蚀物	化合物
消去反应	反应
非洲人	灵魂
透镜盖	封闭盖
南方	基本四个方向
祝酒杯	杯子
豹蟾鱼	棘鳍目鱼
星章	平面图形
威尔逊瓣蹼鹬	矶鹞之类
红缘莲花掌	矮灌木
防治疟疾药	抗原生动物药
复合数	数
胶带	胶带
大型曼陀琳	洋琵琶
一小杯液体	无穷小量
耶稣升天节	弥撒日
紫花酢浆草	酸模
摇篮	婴儿床
矿石	矿质
萨罗	水杨酸盐
钩毛	荆棘
辕马	运货马车的马
英亩-英尺	容积单位
船蛸科	软体动物科
无刺甘兰豆	瓣豆
山槭	槭树
变质作用	地质活动
光明	照明度
雕版画	拓印
雀鲷	鲈形亚目鱼
镍黄铁矿	矿质
肺源性心脏病	肥大
窗帘用环	箍
丙酮	溶剂
不掘蛙科	两栖科
行军蚁亚科	节肢动物科
恶性营养不良	营养失调
软盘	磁碟
铜基合金	合金
含桧酸	醇酸
前列腺炎	炎症
手油门	杠杆
苹果绵蚜	绵蚜
被分开的状态	隔离
对象	妇女
教会财产	留本基金
绑腿	衣服
钻探平台	石油钻塔
苯	芳烃
估定的价值	价钱
高风险投资	投资额
蝙蝠刺桐	龙牙花
电感单位	电磁单位
收条	致謝
钻心	钻头
字	电脑记忆单位
脾脱疽	症
壁炉的前饰	架子
免疫球蛋白D	免疫球蛋白
仰蝽科	节肢动物科
赌场酒店	更常指大而气派的建筑
蜚蠊科	节肢动物科
赛博空间	计算机网络
番茄属	海盘车单子叶植物属
精神失常	精神病
煤油	燃料
分享	相关
青足鹬	矶鹬
卫星	设备
空乘	随从
对性连锁疾病	染色体畸变
自然排列	自然过程
推论	逻辑联系
完成体	貌
百年	阶段
军舰鸟	鹈形目的海鸟
遗尿症	撒尿
结构钢	钢铁
大茄	龙葵属植物
羊蹄甲	被子植物
插座	电力设备
红莲灯	脂鲤
玄武黑曜岩	黑曜岩
顶端发酵	发酵作用
佐剂	添加物
木槌	槌
一匹	卷
降落伞背带	支撑
中平面	平面
国库券	政府公债
邓普斯特尔罐	集装箱
印度历的6月	印度教历的月
血小板溶解	症状
弓鳍鱼	硬鳞鱼
印度历的4月	印度教历的月
乌贼科	软体动物科
欧楂	果树
进风口	管道
头像方碑	雕像
马革	皮革
四分之一英里	长度度量
数值范围	规范
茜草科	海盘车单子叶植物科
中场休息	间歇
更常指大而气派的建筑	结构
捕获量	估计量
狄吉妥辛	洋地黄苷
鳞苞	叶子
留本基金	资本
震颤谵妄	精神病
辱	不名誉
书虱属	节肢动物属
巴拉克拉瓦头盔	鸭舌帽
朱蕉	灌木
大酒桶	桶
T型车	车
投注店	店铺
通知	布告
细鳞圆鲹	竹荚鱼
虫粪	排泄物
编码DAN	脱氧核糖核酸
卫生条件	状态
矮牵牛	花
北美独居蝙蝠	蝙蝠
拱桥	拱门
被单	被面
钆	金属元素
牛奶	饮料
黑鲈	翻车鲀
调解人	代表
薄膜蕨属	蕨属
角闪石	闪石
青年旅馆	房屋
黄瘤	皮肤病
破产	财务状况
马克笔	钢笔
真实性	真实
蜡蝉科	节肢动物科
大理石木	树
砂质岩	沉积岩
狂犬病	症
过度	满
嵌齿象	象
长角牛	菜牛
芬兰马克	芬兰货币单位
白蜡的树翅果	籽
抽象画	绘画
乙醚	麻醉气体
贵族阶级	身份
秘密	信息
鲱鱼	鲱科鱼
伊维萨猎犬	猎狗
茶苯醇胺	止呕吐的药
茶苯醇胺	抗组胺剂
葡萄蕨属	蕨属
大颚鱼	鲈形亚目鱼
霍乱	传染病
均分	相关
霰石	矿质
低息贷款	可透支额
第一	排列
金苹果	果树
晕枯病	枯萎病
羽叶棕榈	棕榈科植物
礼服制服	军装
血栓性静脉炎	静脉炎
犹他甜苕子	矮灌木
飘扬	运动
骄傲	满足
结婚礼物	礼物
硅	半导体材料
硅	化学元素
脱水	干燥
愤怒	情绪激发
微粒物质	物资
树蟋属	节肢动物属
憩室	疝气
骨瓷	瓷器
面部画	肖像
鸽棚	鸟舍
单亲遗传	血统
监狱	惩教所
碘-131	放射性同位素
碘-131	碘
不耐心	烦恼
镰刀菌枯萎病	萎蔫病
青蛙	水陆两栖动物
自始至终	永远
表面	前面
垂体功能亢进	腺病
绺	毛发
酒馆	房间
糖尿病之一种	症状
咖啡罐	马口铁器
来源	出版物
墨水瓶	盘子
小帆船	船
峻岭	山脊
肝细胞瘤	癌
皮脂囊肿	囊肿
铁路道口	路口
辐透	照明单位
重量单位	单位
海角牛舌草	长药景天
兆字节	电脑记忆单位
金霉素	抗菌素
污秽	不卫生
年龄组	社会阶级
地毯织机	织机
英国风俗	风俗
综合大楼	结构
明矾	重盐
明矾	铝
坐标转换	坐标转换
缺钱	贫穷
零活	责任
鸡貂	鼬科的动物
法院	聚集在一起的人
淋病	花柳病
祖传遗物	遗产
干冰	固体
窗帘	装备
窗帘	遮光物
染色工厂	车间
摩洛哥革	皮革
旗鱼	鲭亚目鱼
酮酸中毒	酸毒症
训谕	讲话
拳打	重击
经纬仪	仪表
机械装置	机械装置
大药丸	药片
莫诺波里游戏棋盘	棋盘
美国白蛾	结网虫
神香草属	海盘车单子叶植物属
白云石	矿质
疙瘩	粉刺
酮类固醇	类固醇
排泄物	废物
粉叶蕨属	蕨属
比例	量关系
套式铁轨	铁道
耕田机	农业机械
安全	状态
吉尔	英国容量单位
细菌抑制	生物进程
反射性癫痫	癫痫症
神经病	病理状态
万能药	液体
加仑	英国容量单位
天蚕蛾科	节肢动物科
窘境	困难境地
被指定人	职员
杏仁饼	饼干
谋划	组织
弹性绷带	弹性绷带
弹性绷带	胶布绷带
赔偿金	赔偿金
β-内啡肽	脑内啡
分隔舱	隔间
步行不能	行走残疾
乳白蛋白	白蛋白
灰蝶	蝴蝶
抽象画派	艺术活动
狭叶泽芹	沼泽植物
绳扣	环状物
视觉失认症	认识不能
离子泵	真空泵
针	用具
古柯	灌木
中心盲	盲点
随机游动	随机过程
脉络丛脑膜炎	髓膜炎
钟塔	楼阁
野苹果	苹果树
蛛猴	阔鼻猴
酒精测定器	装置
氰化法	工业生产方法
部件	计算机电路
火绳杆	棍
大洋臀纹粉蚧	节肢动物属
重点产品	货物
慌张步态	症状
偷窃	盗窃
环境	环境
水壶	锅
长牙	生长
轻便无盖挂斗	箱子
退化	生物进程
白银时代	阶段
送奶车	货车
查找	运转
农业机械	机器
转向轮	轴承
马鞭草科	海盘车单子叶植物科
龙鳞榈	棕榈科植物
会计职业	行业
氢氰酸	化合物
高帽子	帽子
土褐牛肝菌	牛肝菌
降水量	估计量
假牙	假牙
卵磷脂	乳化器
卵磷脂	磷脂
美味羊肚菌	伞菌
杜宾犬	杜宾犬
字母的书写变体	字形
保龄球鞋	鞋子
鲈形亚目鱼	棘鳍目鱼
过敏性休克	过敏性反应
斜长石	长石
萰树	红豆
转动	运动
播音室	画室
泥蜂属	节肢动物属
蝗属	节肢动物属
假苦瓜	藤本植物
氯屈米通	抗组胺剂
退化	降低
铁丝	联结物
未实现收益	获益
消防车	货车
实夜蛾属	节肢动物属
回指	语法关系
特奎拉龙舌兰	龙舌掌
巨大的海螺	贝壳
并行处理	数据处理
花窗玻璃	玻璃
跳蚤咬	昆虫咬伤
马蝇	牛虻
斑疹伤寒	斑疹伤寒
草坪	野外
急转弯	角形
球蚜	虱
法国号	黄铜管乐
欢庆	消遣
地塞米松	皮质类固醇
地塞米松	消炎药
恐惧	消沉
斜视	反常
流通数	算出总数
卡盘	夹持装置
铌铁矿	矿质
空中巴士	班机
追猎	露天运动
颜料	颜料
颜料	涂层
氟氯烃化合物	含氯氟烃
鸟澡盆	盆
园林植物	植物群
梭子蟹属	节肢动物属
解剖学家	能手
千周年纪念	周年纪念日
兔子木	寄生植物
酸性染料	染色剂
热导导弹	运载火箭
满足	领受
雌豹	豹子
铸币厂	工厂
栎瘿	虫瘿
悬挂滑翔机	滑翔机
血红蛋白血	症状
坟墓	地点
盎格鲁撒克逊神	神明
鰤	狗鱼
单核细胞性白血病	白血病
杠杆	长杆
磁性水雷	浮动水雷
蓝狐	白狐
胸鳍	鳍
研究员基金	奖金
研究员基金	资助
石鱼	鲉科鱼
炉子	设备
无脉管生物	生物
一种变性疾病	病理状态
电磁炸弹	炸弹
陷阱	装置
龙虾	龙螯虾
蜣螂科	节肢动物科
电话号码	信号
红熊猫	浣熊
鸟舍	更常指大而气派的建筑
愈疮木	被子植物
风化变质	变质作用
橙尖晶石	尖晶石红宝石
孵卵	生产
夏令营	位置
脑啡肽	脑内啡
虹	弧
蜘蛛蟹	蟹
领空	空气
六道木属	海盘车单子叶植物属
监狱	监禁
托架	隅撑
辅助机车	马达
基础代谢	新陈代谢
杯子	集装箱
杯子	餐具
阿拉丁的神灯	灯
实数	复数
金雀花	灌木
麝香	分泌物
汉堡欧芹	香菜
小蛤蜊	硬壳蛤属
缟鬣狗	鬣狗
煎锅	烹饪用具
在场从犯	同谋
南非螯龙虾	龙螯虾
电煎锅	长柄平锅
虹膜粘连	粘连
国际烛光	发光强度单位
软煤	煤炭
迷人的好运	目标
货门	门
风扇皮带	皮带
草地螟	美国白蛾
亚洲人	居民
网吧	小餐馆
支架	隅撑
触痛	苦痛
庄园住宅	房屋
小桶	桶
问题	不完美
沙眼	眼病
美洲拟狮	大猫
腥黑粉菌	黑粉病
细胞过多	细胞结构
欧洲螯龙虾	龙螯虾
现在	目前
氢碘酸	酸类
妄想症	神经病
鮨	鲈形亚目鱼
克雷布斯循环	生物进程
高等地位	身份
气垫	空气垫
弓浆虫病	感染
共生	相关
分离性	分裂
透支额	汇票
羊鱼	鲻鱼
方式	状态
暗斑刺盖太阳鱼	刺盖太阳鱼
假性宫缩	肌肉收缩
情况	状态
捕获	自然过程
沙漠葳属	海盘车单子叶植物属
皮犊纹皮	小牛皮革
安哥拉土人	安哥拉人
哥伦纳属植物	灌木
超级市场	杂货店
列车载量	载荷
玩笑	消遣
螳螂虾	口足目动物
汗分泌过多	流汗
生产率	比例
缟椰子猫	麝猫
热平衡	平衡
山樱	青肤樱
马盔	钢板
警戒艇	船
白蛉	蚋
色淀颜料	颜料
紧要关头	临时状态
白球	撞球
潜质	可能性
粗斜棉布	衣料
气垫运载工具	飞艇
银	导体
银	贵金属
人们	人类
某种事件发生的时刻	适当时机
吃力不讨好的事	尽力
透孔螺属	软体动物属
凳子	坐椅
药片	剂量
后睾吸虫病	侵染
转移注意力的话题	转移
水中氯度	定量
坏名声	好名声
跨接线	跳线
厚嘴海鸦	海鸦
有氧健身法	心肺锻炼
新艺术	艺术活动
强化注射剂量	剂量
桃褐斑病	枯萎病
拟栉蚕属	节肢动物属
锦灯笼	酸浆属植物
数目1	数字
骚动	骚乱
美洲麻鹭	麻鸭
小母牛	母牛
葡萄球菌肠毒素b	生物武器
葡萄球菌肠毒素b	葡萄球菌肠毒素
反射率	系数
极光	大气现象
灰尘污染	被污染
狷羚	羚羊
黄视症	视觉障碍
粘板岩	沉积岩
非显晶岩	聚合体
麦蛾	麦蛾
绉胶	衣料
海豚	海豚
方法	财力
遗产	转让了的财物
口腔干燥	干燥
集合单位	单位
酒席	饮食
纤维素	多聚糖
二氧化氯	漂白剂
二氧化氯	二氧化物
乳酪胶	黏胶
轰炸机	灵魂
埋葬所	坟墓
子宫外妊娠	怀孕
同位素	原子
暗紫红黑孔菌	多孔菌
钥匙板	支撑物
黑粪症	粪便
有价值的物品	财富
仲醛	醛
蒸馏酒厂	工厂
栗色马	马
乳汁生成	分泌
双面针织物	编织物
无定向线圈	线圈
馒头	面包
情感障碍	神经病
多面体角	角
沙孙鲽	牙鲆
猪皮革	皮革
麻烦事	折磨
竞卖	销售
抵达时间	时间点
苏摩	藤本植物
华达呢	衣料
荭草	矮灌木
嘧啶	有机化合物
溴化钾	盐
溴化钾	溴化钾
毒堇	有毒植物
除酵节	流动的圣节
焦虑	心理状态
模板	铸模
印度黑羚	羚羊
相互传染	感染
海羊齿属	棘皮动物属
贿赂	贿赂品
处理时间	间隙
水螅	扩散
收能反应	核反应
营养失调	遗传病
走廊	阳台
零钱	硬通货
砍	开放
足痛	苦痛
襟翼	翼面
铜平鲉	岩鱼
露宿帐篷	帆布帐篷
网格球顶	拱顶
浮筒锚链	缆绳
紫青水鸡	鹁类小鸟
机会	机会
血清素	单胺类神经递质
银铃	银钟花属植物
空气栓塞	栓塞
意图	意思
雨季	雨季
商誉	无形资产
疏忽	虐待
承兑汇票	汇票
菜豆的一种	菜豆
装卸月台	站台
收获期	季节
出汗	新陈代谢
紧抱	拥抱
焊料	合金
凝乳酶	有机化合物
阿达尔月(即犹太教历12月	犹太教历的月
副主教的职位	排列
防油纸	纸
数	定量
院士	读书人
干净	清洁
高密度脂蛋白胆固醇	胆固醇
肌红蛋白尿症	症状
洋绣球	洋绣球
酸类	化合物
着色芽生菌病	芽生菌病
生产痛	剧痛
免疫抑制剂	药物
单鳍鳕	鳕科的鱼
工字梁	梁
棱堡	防御工事
美洲貂	貂
平面角	角
衬衫袖子	便装
长颈鹿	反刍动物
浪费信托	信托财产
芒萁属	蕨属
过去完成时	完成式
表始动词	貌
绵柳	鸡足
鸟笼	笼子
沙漠蝴蝶百合	蝴蝶百合
疟疾	疾病
甲病毒属	动物病毒
禁酒时期	阶段
蘑菇圈	环状物
浮叶	叶子
夜蛾属	节肢动物属
堆砂白蚁属	节肢动物属
乳腺炎	炎症
信件	证件
信件	课文
胸膜痛	苦痛
半影	阴暗区
商标名	塑胶
水凝胶	胶态凝胶
阿拉伯字母系统	字母表
长嘴硬鳞鱼	硬鳞鱼
人死时躺的床	床
眼角皱纹	皱褶
税务扣押权	留置权
己酸	饱和脂肪酸
花茎	连接或支撑部分
水锰矿	矿质
生长	生物进程
沉滞	静止
长尾鳕	鳕科的鱼
耕地	状态
毛萼口红花	大红芒毛苣苔
克罗内克函数	映射
横纹肌肉瘤	肉瘤
原康修尔猿	人科之动物
祖父条款	摆脱
重置价值	花费
农庄	不动产
雌狮	美洲拟狮
预约簿	书籍
带帽长斗篷	厚重长大衣
下降	降低
半	分数
船室兼厨房	轮船上的厨房
贮藏室	设施
风俗	模式
凸多边形	多边形
血钙过多	症状
褐虾科	节肢动物科
合欢树	树
三体性	染色体畸变
截头树	树
绒鼠	臼齿动物
衣蛾	谷蛾科昆虫
液压泵	泵
瓦特	电力单位
软壳蛤	蛤蜊
回纹饰	建筑装饰
绝缘胶布	胶带
手球	球
薄片制品	层状结构
割断	切断
庄家的赌本	资金
陶蜂	黄蜂
夜盲症	维生素缺乏症
夜盲症	视觉障碍
韦-霍二氏病	隐形遗传病
海军将级军衔	军衔
长蝽科	节肢动物科
蚂蚁	膜翅目昆虫
速度稍慢	速度
欧洲江鲽	冠鲽
独特性	隔开
罗马的和平	和平
运输	扩散
林跳鼠	臼齿动物
镨	金属元素
聚合	化学方法
运动夹克	短上衣
比利时法郎	法郎
腐坏	衰变
黑脸黑猩猩	黑猩猩
蛇鹈鸟	鹈形目的海鸟
集体意见	意见的一致
聚藏的钱财	贮藏
点火器	装置
粘果酸浆	酸浆属植物
圆盘耙	耙
长嘴半蹼鹬	长嘴半蹼鹬
海底的动植物群	生物
大岩桐属	海盘车单子叶植物属
北极光	极光
合囊蕨属	蕨属
竹节虫	竹节虫
鼻后腔滴流	症状
对切	划分
放射性氯	氯
缴付不足	报酬
肉类市场	店铺
麻痹	症状
槌球	球
槌球	槌球设备
智人	人类
戊巴比妥	巴比妥酸盐
禁止	法令
熊蜂属	节肢动物属
假性脑膜炎	症状
辨尼	芬兰货币单位
母亲	父亲或母亲
钚239	钚
踏板	人行桥
巴巴苏棕榈果	籽
撬杆	铁橇
乳头状瘤	良性肿瘤
总状花序	花簇
血液透析器	透析器
挽马	运货马车的马
圣周	星期
证人	灵魂
心形物	平面图形
试镜	试验
大锯齿白杨	颤杨
马达	马达
恒等式	运算符号
动物毒素	毒素
添加物	附加物
孢子丝菌病	霉菌病
绷紧	延伸
门锁	锁
存在	存在
马鞭草属	海盘车单子叶植物属
藤绣球	绣球属植物
切断	划分
见票即付票据	汇票
碳化钨硬质合金	合金
担保	附属担保物
死亡	改变
睡眠失调	病理状态
尿崩症	糖尿病
状态	状态
海蚯蚓	多毛纲
鸟氨酸	胺酸
美芬妥英	抗痉挛的药物
安全装置	装置
鼓形物	柱面
